Unnamed: 0,id,release_date,title
242,8392,1988-04-16,My Neighbor Totoro
243,337404,2021-05-26,Cruella
244,118662,1989-09-05,Decalogue I
245,610461,2020-02-14,"Veinteañera, Divorciada y Fantástica"
246,893941,2021-10-14,Misfit
247,42229,1977-08-11,A Special Day
248,663558,2021-02-06,New Gods: Nezha Reborn
249,11423,2003-05-02,Memories of Murder
250,7347,2007-10-12,Elite Squad
251,437068,2017-08-02,A Taxi Driver
252,381284,2016-12-10,Hidden Figures
253,11659,2003-06-22,The Best of Youth
254,1955,1980-10-09,The Elephant Man
255,55960,1956-08-23,"Toto, Peppino, and the Hussy"
256,800,1950-12-09,The Young and the Damned
257,538362,2018-09-12,On My Skin
258,447365,2023-05-03,Guardians of the Galaxy Vol. 3
259,120467,2014-02-26,The Grand Budapest Hotel
260,821,1961-12-18,Judgment at Nuremberg
261,515001,2019-10-18,Jojo Rabbit
262,449176,2018-02-16,"Love, Simon"
263,26022,2010-02-10,My Name Is Khan
264,400928,2017-04-12,Gifted
265,51482,2007-08-31,Death Note Relight 1: Visions of a God
266,5801,1955-08-26,Pather Panchali
267,310569,2015-06-04,The Second Mother
268,780,1928-04-21,The Passion of Joan of Arc
269,785534,2021-03-12,Paper Lives
270,282848,2013-12-25,Doctor Who: The Time of the Doctor
271,582,2006-03-15,The Lives of Others
272,279,1984-09-19,Amadeus
273,1091,1982-06-25,The Thing
274,615457,2021-03-18,Nobody
275,574074,2019-01-18,Kitbull
276,106646,2013-12-25,The Wolf of Wall Street
277,20530,1949-09-13,Late Spring
278,9764,1975-08-02,Dersu Uzala
279,522518,2019-05-03,A Dog's Journey
280,264644,2015-10-16,Room
281,339877,2017-06-22,Loving Vincent
282,19426,1957-10-03,Nights of Cabiria
283,641,2000-10-06,Requiem for a Dream
284,14,1999-09-15,American Beauty
285,455661,2017-06-01,In a Heartbeat
286,37793,1997-09-04,Ghosts
287,521,1954-05-29,Dial M for Murder
288,429210,2017-08-24,Bingo: The King of the Mornings
289,378108,2016-11-12,In This Corner of the World
290,962,1925-07-12,The Gold Rush
291,204,1953-04-22,The Wages of Fear
292,9277,1973-12-25,The Sting
293,938,1965-12-18,For a Few Dollars More
294,673,2004-05-31,Harry Potter and the Prisoner of Azkaban
295,1396,1975-03-07,Mirror
296,19542,1948-09-06,The Red Shoes
297,115929,2012-02-15,Cool Kids Don't Cry
298,28978,1928-01-06,The Circus
299,307,1945-10-08,"Rome, Open City"
300,15,1941-04-17,Citizen Kane
301,568160,2019-06-19,Weathering with You
302,11104,1994-07-14,Chungking Express
303,110416,2014-09-06,Song of the Sea
304,315465,2015-07-11,The Boy and the Beast
305,524,1995-11-22,Casino
306,554596,2019-03-15,No Manches Frida 2
307,12761,1978-10-08,Autumn Sonata
308,359724,2019-11-13,Ford v Ferrari
309,205596,2014-11-14,The Imitation Game
310,595,1962-12-20,To Kill a Mockingbird
311,714888,2022-09-29,"Argentina, 1985"
312,3175,1975-11-26,Barry Lyndon
313,11778,1978-03-09,The Deer Hunter
314,28178,2009-06-08,Hachi: A Dog's Tale
315,785084,2022-12-09,The Whale
316,140420,2012-11-02,Paperman
317,424694,2018-10-24,Bohemian Rhapsody
318,13223,2008-12-09,Gran Torino
319,3090,1948-01-15,The Treasure of the Sierra Madre
320,58007,1954-04-17,Poverty and Nobility
321,31439,1994-05-26,To Live
322,28422,2009-01-31,Love Exposure
323,25376,2009-08-13,The Secret in Their Eyes
324,634649,2021-12-15,Spider-Man: No Way Home
325,961,1926-12-25,The General
326,652722,2019-12-06,In the Arms of an Assassin
327,426618,2018-09-14,Where Hands Touch
328,18438,2009-05-14,Castaway on the Moon
329,488623,2017-11-29,Forgotten
330,285700,2014-08-09,The Fool
331,213,1959-07-08,North by Northwest
332,962232,2022-10-27,Beyond the Universe
333,776503,2021-08-11,CODA
334,560066,2019-02-05,Scooby-Doo! and the Curse of the 13th Ghost
335,23282,1920-08-29,One Week
336,12104,1982-07-14,Pink Floyd: The Wall
337,530915,2019-12-25,1917
338,20453,2009-12-23,3 Idiots
339,550205,2021-01-15,Wish Dragon
340,43949,2010-08-06,Flipped
341,14696,1953-03-26,Ugetsu
342,29264,1962-05-16,The Exterminating Angel
343,2517,2004-08-07,Nobody Knows
344,947,1962-12-11,Lawrence of Arabia
345,482321,2021-10-14,Ron's Gone Wrong
346,15244,1956-11-11,A Man Escaped
347,7508,2007-12-21,Like Stars on Earth
348,11658,2004-02-05,Tae Guk Gi: The Brotherhood of War
349,897,1956-10-11,Aparajito
350,76,1995-01-27,Before Sunrise
351,45752,2010-09-14,Scooby-Doo! Camp Scare
352,1059,1958-12-28,The Hidden Fortress
353,15383,1969-09-10,Army of Shadows
354,1578,1980-11-14,Raging Bull
355,770,1939-12-15,Gone with the Wind
356,24,2003-10-10,Kill Bill: Vol. 1
357,627,1996-02-23,Trainspotting
358,698508,2022-01-21,Redeeming Love
359,38360,1957-10-12,The Cranes Are Flying
360,10238,1972-12-21,Cries and Whispers
361,862,1995-10-30,Toy Story
362,414419,2011-03-27,Kill Bill: The Whole Bloody Affair
363,1580,1948-03-11,Rope
364,640,2002-12-16,Catch Me If You Can
365,315620,2010-12-25,Doctor Who: A Christmas Carol
366,242828,2014-07-19,When Marnie Was There
367,11712,1962-01-01,Sanjuro
368,1092,1949-08-31,The Third Man
369,10515,1986-08-02,Castle in the Sky
370,38286,1997-12-27,Three Men and a Leg
371,70,2004-12-15,Million Dollar Baby
372,237791,2014-03-28,The Way He Looks
373,21334,1997-08-01,Children of Heaven
374,234,1920-02-27,The Cabinet of Dr. Caligari
375,775,1902-04-17,A Trip to the Moon
376,20803,1973-09-17,Ivan Vasilyevich Changes His Profession
377,654,1954-06-22,On the Waterfront
378,41050,1961-01-24,La Notte
379,10404,1991-12-18,Raise the Red Lantern
380,3777,1957-01-15,Throne of Blood
381,110,1994-05-12,Three Colors: Red
382,360814,2016-12-21,Dangal
383,458302,2018-12-12,"Remi, Nobody's Boy"
384,28971,1952-10-23,Limelight
385,149,1988-07-16,Akira
386,522402,2021-11-04,Finch
387,31411,1928-09-10,The Cameraman
388,489412,2012-08-24,It's Such a Beautiful Day
389,160885,1999-05-12,Tel chi el telùn
390,501929,2021-04-22,The Mitchells vs. the Machines
391,491480,2019-02-14,The Boy Who Harnessed the Wind
392,76203,2013-10-18,12 Years a Slave
393,158445,2013-01-23,Miracle in Cell No. 7
394,405,1954-09-23,La Strada
395,14160,2009-05-28,Up
396,745,1999-08-06,The Sixth Sense
397,11010,1994-04-07,The Postman
398,5925,1963-06-20,The Great Escape
399,698201,2021-07-09,Tokyo Revengers
400,698948,2022-07-18,Thirteen Lives
401,920394,2022-01-21,My Father's Violin
402,455714,2017-05-03,Bad Genius
403,438695,2021-12-01,Sing 2
404,10728,1926-10-13,Faust
405,715931,2022-12-02,Emancipation
406,523781,2020-08-21,Words on Bathroom Walls
407,142061,2013-01-03,"Batman: The Dark Knight Returns, Part 2"
408,10242,1962-10-12,What Ever Happened to Baby Jane?
409,329,1993-06-11,Jurassic Park
410,81,1984-03-11,Nausicaä of the Valley of the Wind
411,152532,2013-11-01,Dallas Buyers Club
412,37797,1995-07-15,Whisper of the Heart
413,667520,2020-06-18,A Whisker Away
414,9323,1995-11-18,Ghost in the Shell
415,721656,2020-10-06,"Happy Halloween, Scooby-Doo!"
416,552532,2020-01-27,Charm City Kings
417,6977,2007-06-13,No Country for Old Men
418,20722,2008-06-10,La Maison en Petits Cubes
419,610150,2022-06-11,Dragon Ball Super: Super Hero
420,579792,2020-01-24,Cindy La Regia
421,613868,2019-12-10,Cousins
422,197,1995-05-24,Braveheart
423,78,1982-06-25,Blade Runner
424,615453,2019-07-26,Ne Zha
425,10386,1999-08-06,The Iron Giant
426,505262,2018-08-03,My Hero Academia: Two Heroes
427,829,1974-06-20,Chinatown
428,679,1986-07-18,Aliens
429,85,1981-06-12,Raiders of the Lost Ark
430,183011,2013-07-30,Justice League: The Flashpoint Paradox
431,632322,2020-10-23,All My Life
432,570503,2019-08-28,Tune in for Love
433,150540,2015-06-09,Inside Out
434,1646,2007-01-05,Freedom Writers
435,33,1992-08-07,Unforgiven
436,522212,2019-12-25,Just Mercy
437,746957,2020-10-02,You've Got This
438,296096,2016-06-01,Me Before You
439,8290,1966-12-08,Don't Look Now... We're Being Shot At!
440,223,1940-03-23,Rebecca
441,20271,1961-12-20,Divorce Italian Style
442,3034,1974-12-15,Young Frankenstein
443,2011,2007-06-27,Persepolis
444,671,2001-11-16,Harry Potter and the Philosopher's Stone
445,334533,2016-07-08,Captain Fantastic
446,32085,1982-10-01,Vincent
447,10674,1998-06-18,Mulan
448,316029,2017-12-20,The Greatest Showman
449,594634,2019-10-10,Close to the Horizon
450,69335,2007-09-26,Estômago: A Gastronomic Story
451,47796,1962-09-22,Mamma Roma
452,662,1962-02-16,La Jetée
453,527774,2021-03-03,Raya and the Last Dragon
454,20874,1986-12-01,Kin-dza-dza!
455,20875,1965-07-24,Operation Y and Other Shurik's Adventures
456,122906,2013-09-04,About Time
457,17295,1966-09-08,The Battle of Algiers
458,7984,1993-12-12,In the Name of the Father
459,7857,1973-12-18,Amarcord
460,25364,1951-06-29,Ace in the Hole
461,198,1942-03-05,To Be or Not to Be
462,435129,2017-11-17,The Breadwinner
463,118340,2014-07-30,Guardians of the Galaxy
464,1402,2006-12-14,The Pursuit of Happyness
465,11830,1985-11-23,Tampopo
466,194,2001-04-25,Amélie
467,331482,2019-12-25,Little Women
468,752,2006-02-23,V for Vendetta
469,6715,1995-04-21,The Cure
470,949,1995-12-15,Heat
471,60243,2011-02-15,A Separation
472,938008,2022-07-13,The Killer
473,25538,2000-09-20,Yi Yi
474,94047,2011-12-21,My Way
475,31442,1962-05-09,Ivan's Childhood
476,49964,1987-07-01,Where Is My Friend's House?
477,3083,1939-10-19,Mr. Smith Goes to Washington
478,3870,1976-09-01,1900
479,313369,2016-11-29,La La Land
480,210577,2014-10-01,Gone Girl
481,597,1997-11-18,Titanic
482,585511,2022-08-05,Luck
483,804,1953-08-26,Roman Holiday
484,573164,2021-08-12,An Egg Rescue
485,10997,1993-01-01,Farewell My Concubine
486,1892,1983-05-25,Return of the Jedi
487,1162,1962-05-23,The Miracle Worker
488,712454,2021-09-22,The Summit of the Gods
489,369557,2016-03-11,Sing Street
490,827,1955-01-29,Diabolique
491,354857,2015-09-01,Regular Show: The Movie
492,244001,2013-12-17,Bo Burnham: What.
493,503314,2018-12-14,Dragon Ball Super: Broly
494,48035,1955-01-09,Ordet
495,779047,2021-03-05,Us Again
496,13398,2003-12-29,Tokyo Godfathers
497,3112,1955-08-26,The Night of the Hunter
498,556901,2019-07-21,Teen Titans Go! vs. Teen Titans
499,404378,2016-11-04,A Street Cat Named Bob
500,29455,1963-02-11,Winter Light
501,24167,1960-12-22,Two Women
502,11036,2004-06-25,The Notebook
503,1394,1983-05-01,Nostalgia
504,579245,2019-10-23,The Specials
505,16,2000-06-30,Dancer in the Dark
506,393,2004-04-16,Kill Bill: Vol. 2
507,508943,2021-06-17,Luca
508,180147,2013-03-28,We Are the Nobles
509,3078,1934-02-22,It Happened One Night
510,937278,2022-12-28,A Man Called Otto
511,406785,2016-11-23,Inner Workings
512,916224,2022-11-11,Suzume
513,83564,2012-02-10,La luna
514,843906,2021-09-14,Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog
515,726684,2021-05-15,Miraculous World: Shanghai – The Legend of Ladydragon
516,379170,2016-01-01,Sherlock: The Abominable Bride
517,776305,2021-07-16,Belle
518,833,1952-01-20,Umberto D.
519,631,1927-11-04,Sunrise: A Song of Two Humans
520,275,1996-03-08,Fargo
521,548544,2019-08-30,Invisible Life
522,430424,2017-10-25,See You Up There
523,11293,1973-05-09,Paper Moon
524,934,1955-04-13,Rififi
525,52629,2010-09-03,El Infierno
526,399174,2018-03-23,Isle of Dogs
527,43469,1946-04-27,Shoeshine
528,381341,2016-02-11,Perfect Strangers
529,266856,2014-11-26,The Theory of Everything
530,152601,2013-12-18,Her
531,235,1986-08-08,Stand by Me
532,22596,1923-04-01,Safety Last!
533,301,1959-03-17,Rio Bravo
534,24238,2009-02-09,Mary and Max
535,603692,2023-03-22,John Wick: Chapter 4
536,505192,2018-06-02,Shoplifters
537,665,1959-11-18,Ben-Hur
538,11049,2003-05-28,Interstella 5555
539,1675,1973-05-24,Day for Night
540,391,1964-01-18,A Fistful of Dollars
541,445030,2017-07-15,No Game No Life: Zero
542,265195,2014-08-21,Wild Tales
543,16390,2009-04-07,Scooby-Doo! and the Samurai Sword
544,5511,1967-10-25,Le Samouraï
545,453,2001-12-11,A Beautiful Mind
546,45523,2010-01-26,Louis C.K.: Hilarious
547,12903,2008-09-23,Scooby-Doo! and the Goblin King
548,546554,2019-11-27,Knives Out
549,367412,2013-01-18,Whiplash
550,16859,1989-07-29,Kiki's Delivery Service
551,777,1937-06-04,Grand Illusion
552,398924,2017-01-18,A Bag of Marbles
553,20873,1969-05-23,The Diamond Arm
554,946,1948-04-28,Letter from an Unknown Woman
555,581,1990-03-30,Dances with Wolves
556,185789,1999-01-01,Mulholland Dr.
557,16804,2008-09-13,Departures
558,593,1972-03-20,Solaris
559,23160,2001-02-01,Werckmeister Harmonies
560,2721,1969-02-26,Z
561,93,1959-07-01,Anatomy of a Murder
562,5924,1973-12-13,Papillon
563,613,2004-09-16,Downfall
564,113,2003-09-19,"Spring, Summer, Fall, Winter... and Spring"
565,579974,2022-03-24,RRR
566,564427,2018-12-27,Minha Vida em Marte
567,32480,1981-12-23,The Marquis of Grillo
568,14574,2008-05-07,The Boy in the Striped Pyjamas
569,2440,2000-09-09,Joint Security Area
570,293299,2014-10-25,Feast
571,58129,1921-01-01,The Phantom Carriage
572,14836,2009-02-05,Coraline
573,10774,1976-11-14,Network
574,152742,2013-01-01,The Best Offer
575,22843,2009-06-26,Evangelion: 2.0 You Can (Not) Advance
576,115,1998-03-06,The Big Lebowski
577,89,1989-05-24,Indiana Jones and the Last Crusade
578,50759,1962-11-18,An Autumn Afternoon
579,15859,2004-11-05,A Moment to Remember
580,80379,2011-12-10,Louis C.K.: Live at the Beacon Theater
581,9479,1993-10-09,The Nightmare Before Christmas
582,200727,2014-10-16,"Love, Rosie"
583,1607,1993-09-14,A Bronx Tale
584,359156,2015-09-08,Don't Be Bad
585,86000,2011-10-20,Always
586,59440,2011-09-09,Warrior
587,33320,2002-09-14,Millennium Actress
588,887,1946-12-25,The Best Years of Our Lives
589,761898,2021-10-30,Sword Art Online the Movie -Progressive- Aria of a Starless Night
590,530254,2018-06-27,The Witch: Part 1. The Subversion
591,677638,2020-06-30,We Bare Bears: The Movie
592,968,1975-08-01,Dog Day Afternoon
593,31011,2009-11-06,Mr. Nobody
594,596,1940-03-15,The Grapes of Wrath
595,545611,2022-03-24,Everything Everywhere All at Once
596,71157,2011-10-06,Polisse
597,30588,1947-09-26,Monsieur Verdoux
598,22683,2009-02-07,Gifted Hands: The Ben Carson Story
599,1018,2001-06-06,Mulholland Drive
600,585,2001-11-01,"Monsters, Inc."
601,6075,1993-11-10,Carlito's Way
602,303867,2015-01-22,World of Tomorrow
603,56231,1971-09-17,The Working Class Goes to Heaven
604,826,1957-10-11,The Bridge on the River Kwai
605,136,1932-02-12,Freaks
606,80,2004-02-10,Before Sunset
607,805,1968-06-12,Rosemary's Baby
608,12,2003-05-30,Finding Nemo
609,24480,2009-05-28,Partly Cloudy
610,801335,2021-02-27,Girl in the Basement
611,21135,1962-04-12,L'Eclisse
612,47931,2010-10-08,Elite Squad: The Enemy Within
613,502,1964-10-07,Fail Safe
614,597316,2021-09-23,My Little Pony: A New Generation
615,479718,2017-10-03,The Outlaws
616,11602,1961-06-06,Through a Glass Darkly
617,674,2005-11-16,Harry Potter and the Goblet of Fire
618,5915,2007-09-11,Into the Wild
619,744114,2022-10-20,My Policeman
620,323272,2015-08-28,War Room
621,263115,2017-02-28,Logan
622,609242,2020-01-16,The Heist of the Century
623,335578,2015-12-03,Land of Mine
624,11953,1980-04-26,Kagemusha
625,29452,1966-07-15,The Face of Another
626,11656,1960-02-08,The Virgin Spring
627,10775,2002-12-12,Infernal Affairs
628,726759,2023-03-15,Tetris
629,314365,2015-11-06,Spotlight
630,113833,2014-05-25,The Normal Heart
631,5961,1982-12-17,Fanny and Alexander
632,770254,2021-12-03,Back to the Outback
633,393559,2016-09-22,My Life as a Zucchini
634,650031,2021-10-28,The Shadow in My Eye
635,25606,1975-03-27,White Collar Blues
636,10191,2010-03-18,How to Train Your Dragon
637,831223,2021-06-05,Gone Mom: The Disappearance of Jennifer Dulos
638,116322,2011-10-21,The Legend of La Llorona
639,11697,1962-04-15,The Man Who Shot Liberty Valance
640,882569,2023-04-19,Guy Ritchie's The Covenant
641,705861,2022-06-03,Hustle
642,1280,2004-10-15,3-Iron
643,142,2005-09-10,Brokeback Mountain
644,262,1982-12-18,The King of Comedy
645,5000,1952-05-09,Forbidden Games
646,107,2000-09-01,Snatch
647,929170,2022-07-23,Honor Society
648,901563,2022-11-01,Close
649,2062,2007-06-28,Ratatouille
650,25253,1963-11-27,Crooks in Clover
651,348892,2015-07-17,Bajrangi Bhaijaan
